age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,poutcome,deposit,p_recency
59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,unknown,yes,None
56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,unknown,yes,None
41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,unknown,yes,None
55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,unknown,yes,None
54,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,unknown,yes,None
42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,unknown,yes,None
56,management,married,tertiary,no,830,yes,yes,unknown,6,may,1201,unknown,yes,None
60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,unknown,yes,None
37,technician,married,secondary,no,1,yes,no,unknown,6,may,608,unknown,yes,None
28,services,single,secondary,no,5090,yes,no,unknown,6,may,1297,unknown,yes,None
38,admin.,single,secondary,no,100,yes,no,unknown,7,may,786,unknown,yes,None
30,blue-collar,married,secondary,no,309,yes,no,unknown,7,may,1574,unknown,yes,None
29,management,married,tertiary,no,199,yes,yes,unknown,7,may,1689,unknown,yes,None
46,blue-collar,single,tertiary,no,460,yes,no,unknown,7,may,1102,unknown,yes,None
31,technician,single,tertiary,no,703,yes,no,unknown,8,may,943,unknown,yes,None
35,management,divorced,tertiary,no,3837,yes,no,unknown,8,may,1084,unknown,yes,None
32,blue-collar,single,primary,no,611,yes,no,unknown,8,may,541,unknown,yes,None
49,services,married,secondary,no,-8,yes,no,unknown,8,may,1119,unknown,yes,None
41,admin.,married,secondary,no,55,yes,no,unknown,8,may,1120,unknown,yes,None
49,admin.,divorced,secondary,no,168,yes,yes,unknown,8,may,513,unknown,yes,None
28,admin.,divorced,secondary,no,785,yes,no,unknown,8,may,442,unknown,yes,None
43,management,single,tertiary,no,2067,yes,no,unknown,8,may,756,unknown,yes,None
43,management,divorced,tertiary,no,388,yes,no,unknown,8,may,2087,unknown,yes,None
43,blue-collar,married,primary,no,-192,yes,no,unknown,8,may,1120,unknown,yes,None
37,unemployed,single,secondary,no,381,yes,no,unknown,8,may,985,unknown,yes,None
35,blue-collar,single,secondary,no,40,yes,no,unknown,9,may,617,unknown,yes,None
31,technician,single,tertiary,no,22,yes,no,unknown,9,may,483,unknown,yes,None
43,blue-collar,single,secondary,no,3,yes,no,unknown,9,may,929,unknown,yes,None
31,admin.,married,secondary,no,307,yes,no,unknown,9,may,538,unknown,yes,None
28,blue-collar,single,secondary,no,759,yes,no,unknown,9,may,710,unknown,yes,None
32,blue-collar,married,secondary,yes,-1,yes,no,unknown,9,may,653,unknown,yes,None
60,technician,married,primary,no,65,yes,no,unknown,9,may,1028,unknown,yes,None
26,blue-collar,single,secondary,no,82,yes,no,unknown,9,may,654,unknown,yes,None
40,blue-collar,married,secondary,no,10,yes,no,unknown,9,may,1692,unknown,yes,None
33,blue-collar,divorced,primary,no,390,yes,no,unknown,9,may,665,unknown,yes,None
32,management,single,tertiary,no,311,no,no,unknown,12,may,757,unknown,yes,None
35,blue-collar,married,primary,no,414,no,no,unknown,13,may,504,unknown,yes,None
33,management,divorced,secondary,no,5,yes,no,unknown,13,may,1346,unknown,yes,None
38,management,married,tertiary,no,119,yes,no,unknown,13,may,568,unknown,yes,None
23,entrepreneur,single,primary,no,4,yes,no,unknown,13,may,395,unknown,yes,None
60,blue-collar,married,primary,no,1262,yes,yes,unknown,13,may,1015,unknown,yes,None
48,management,married,tertiary,no,1949,yes,no,unknown,13,may,683,unknown,yes,None
45,entrepreneur,divorced,tertiary,no,-395,yes,no,unknown,13,may,470,unknown,yes,None
36,blue-collar,married,secondary,no,1165,yes,no,unknown,13,may,1001,unknown,yes,None
52,management,married,unknown,no,2240,yes,no,unknown,13,may,845,unknown,yes,None
35,blue-collar,divorced,primary,no,300,yes,no,unknown,13,may,945,unknown,yes,None
43,technician,married,secondary,no,3285,yes,no,unknown,13,may,1721,unknown,yes,None
52,housemaid,married,secondary,no,3923,yes,no,unknown,14,may,942,unknown,yes,None
53,technician,divorced,primary,no,1443,yes,no,unknown,14,may,476,unknown,yes,None
48,blue-collar,divorced,primary,no,24,yes,no,unknown,14,may,832,unknown,yes,None
41,blue-collar,single,primary,no,1618,yes,no,unknown,14,may,1553,unknown,yes,None
39,management,divorced,tertiary,no,517,yes,yes,unknown,14,may,1328,unknown,yes,None
59,retired,married,secondary,no,1521,yes,yes,unknown,14,may,1125,unknown,yes,None
41,blue-collar,married,secondary,no,2823,yes,no,unknown,14,may,858,unknown,yes,None
48,blue-collar,married,secondary,no,1405,yes,no,unknown,14,may,629,unknown,yes,None
40,admin.,married,secondary,no,1535,yes,no,unknown,14,may,704,unknown,yes,None
48,blue-collar,married,secondary,no,1596,yes,no,unknown,14,may,760,unknown,yes,None
60,retired,married,primary,no,1542,yes,no,unknown,14,may,930,unknown,yes,None
40,technician,single,unknown,no,3652,yes,no,unknown,14,may,1028,unknown,yes,None
57,technician,married,tertiary,no,-1,no,no,unknown,14,may,850,unknown,yes,None
51,blue-collar,married,secondary,no,7180,yes,no,unknown,14,may,927,unknown,yes,None
41,blue-collar,divorced,secondary,no,5291,yes,no,unknown,14,may,1423,unknown,yes,None
41,blue-collar,married,secondary,no,1384,yes,no,unknown,15,may,1162,unknown,yes,None
52,blue-collar,divorced,primary,no,-191,yes,no,unknown,15,may,755,unknown,yes,None
59,blue-collar,married,primary,no,320,yes,no,unknown,15,may,695,unknown,yes,None
44,blue-collar,married,unknown,no,146,yes,no,unknown,15,may,483,unknown,yes,None
49,unknown,married,primary,no,341,yes,yes,unknown,15,may,520,unknown,yes,None
40,services,married,primary,no,-9,yes,no,unknown,15,may,920,unknown,yes,None
41,admin.,married,primary,no,-306,yes,no,unknown,15,may,500,unknown,yes,None
44,technician,married,tertiary,no,4580,yes,no,unknown,15,may,911,unknown,yes,None
60,services,single,primary,no,313,yes,no,unknown,15,may,920,unknown,yes,None
29,management,married,tertiary,no,10576,no,no,unknown,15,may,1224,unknown,yes,None
41,retired,divorced,primary,no,-233,yes,no,unknown,15,may,1156,unknown,yes,None
41,blue-collar,married,primary,no,2453,yes,no,unknown,15,may,1052,unknown,yes,None
42,technician,single,secondary,no,1364,yes,no,unknown,15,may,1867,unknown,yes,None
36,services,single,unknown,no,281,yes,no,unknown,16,may,515,unknown,yes,None
39,technician,married,tertiary,no,94,yes,yes,unknown,16,may,813,unknown,yes,None
31,self-employed,single,tertiary,no,144,yes,no,unknown,16,may,676,unknown,yes,None
26,blue-collar,married,secondary,no,246,yes,no,unknown,16,may,1143,unknown,yes,None
31,blue-collar,married,secondary,no,92,yes,no,unknown,16,may,688,unknown,yes,None
29,admin.,single,secondary,no,163,yes,yes,unknown,16,may,803,unknown,yes,None
37,services,divorced,secondary,no,49,yes,no,unknown,16,may,619,unknown,yes,None
33,blue-collar,single,secondary,no,-416,yes,no,unknown,16,may,767,unknown,yes,None
24,technician,single,secondary,no,409,yes,no,unknown,16,may,912,unknown,yes,None
50,admin.,divorced,secondary,no,363,yes,no,unknown,16,may,1340,unknown,yes,None
27,technician,single,tertiary,no,3706,yes,no,unknown,16,may,897,unknown,yes,None
54,management,single,tertiary,no,4393,yes,no,unknown,16,may,1297,unknown,yes,None
30,technician,single,secondary,no,863,yes,no,unknown,16,may,1193,unknown,yes,None
